RECORD_ID,ISSUE_DATE,YEAR,MONTH,PERMIT_TYPE,WORK_TYPE,REPORTED_COST,COMMUNITY_AREA_NAME,LATITUDE,LONGITUDE,x,y,PROJECTION,COMMUNITY_UPPER
100858888,2020-06-23,2020,6,PERMIT - RENOVATION/ALTERATION,Unknown,50000.0,Loop,41.8880794261,-87.62404736976,0.40583682333962806,1.0364048911450663,PCA,LOOP
B101003889,2023-01-30,2023,1,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,5905.0,Edgewater,41.98108996498,-87.66852633131,-0.7834318147430391,-0.6209072937384912,PCA,EDGEWATER
100974594,2023-03-20,2023,3,PERMIT - RENOVATION/ALTERATION,Unknown,100000.0,New City,41.81016725168,-87.64421387665,0.7677202804775975,0.9958510349353998,PCA,NEW CITY
B200006251,2024-01-24,2024,1,PERMIT – EXPRESS PERMIT PROGRAM,Mechanical Work,18000.0,Loop,41.88462753998,-87.61864307171,0.5858703123524285,-0.24597717708968508,PCA,LOOP
100984334,2022-08-26,2022,8,PERMIT - EASY PERMIT PROCESS,Unknown,20000.0,West Elsdon,41.78949922225,-87.72103256251,0.004712488037592024,0.37763225172961645,PCA,WEST ELSDON
B100941897,2021-10-06,2021,10,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,20000.0,South Deering,41.72246031812,-87.56721344948,2.450227710451058,0.4960113050178423,PCA,SOUTH DEERING
100913449,2021-03-18,2021,3,PERMIT - EASY PERMIT PROCESS,Unknown,1.0,Albany Park,41.96930277154,-87.74103474846,-1.5407198404518148,-2.6945555194281394,PCA,ALBANY PARK
B200411146,2025-01-15,2025,1,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,1000.0,Roseland,41.71767545271,-87.63083533277,1.820726760838031,-1.2444930001801617,PCA,ROSELAND
100926803,2021-06-17,2021,6,PERMIT - RENOVATION/ALTERATION,Unknown,38395.0,Logan Square,41.91569200837,-87.70615548644,-0.8494454709347589,0.6944416591586479,PCA,LOGAN SQUARE
B200425437,2025-05-14,2025,5,PERMIT – EXPRESS PERMIT PROGRAM,Masonry Work,12570.0,West Town,41.9003620073,-87.6700079482,-0.18024571014098906,-0.07073690800996127,PCA,WEST TOWN
B200432261,2025-07-01,2025,7,PERMIT – EXPRESS PERMIT PROGRAM,Reroofing,9446.17,Ashburn,41.74493246411,-87.7396524627,0.2733823065834116,-0.041900077103464745,PCA,ASHBURN
100870766,2020-05-21,2020,5,PERMIT - RENOVATION/ALTERATION,Unknown,20000.0,Greater Grand Crossing,41.75732295208,-87.62005322898,1.465631403139323,0.5225914475478878,PCA,GREATER GRAND CROSSING
B100923456,2021-05-20,2021,5,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,4416.0,South Lawndale,41.84727234908,-87.6934574304,-0.01794767929775915,-0.6082449528306646,PCA,SOUTH LAWNDALE
